year,hijri,subject,gender,level,location,value
2004,1425,Teachers Training,female,undergrad,local,13242
2004,1425,Humanities,female,undergrad,local,8113
2004,1425,Islamic Studies,male,diploma,local,5281
2004,1425,Teachers Training,male,undergrad,local,4009
2004,1425,Education,female,undergrad,local,3325
2004,1425,Mathematics and Statistics,female,undergrad,local,3158
2004,1425,Information Technology,male,diploma,local,2893
2004,1425,Islamic Studies,male,undergrad,local,2832
2004,1425,Business and Management,male,diploma,local,2745
2004,1425,Humanities,male,undergrad,local,2700
2004,1425,Islamic Studies,female,undergrad,local,2201
2004,1425,Business and Management,female,undergrad,local,2086
2004,1425,Business and Management,male,undergrad,local,1658
2004,1425,Other,female,undergrad,local,1612
2004,1425,Health,male,diploma,local,1580
2004,1425,Social and Behavioral Sciences,female,undergrad,local,1508
2004,1425,Other,male,undergrad,local,1345
2004,1425,Life Sciences,female,undergrad,local,1308
2004,1425,Information Technology,female,diploma,local,1300
2004,1425,Mathematics and Statistics,male,undergrad,local,1170
2004,1425,Education,male,undergrad,local,1073
2004,1425,Journalism and Media,male,undergrad,local,1067
2004,1425,Health,female,diploma,local,1033
2004,1425,Engineering and Engeneering Trades,male,diploma,local,969
2004,1425,Humanities,male,diploma,local,951
2004,1425,Information Technology,male,undergrad,local,761
2004,1425,Health,male,undergrad,local,699
2004,1425,Social and Behavioral Sciences,male,undergrad,local,681
2004,1425,Physical Sciences,female,undergrad,local,624
2004,1425,Arts,female,undergrad,local,600
2004,1425,Health,female,undergrad,local,556
2004,1425,Life Sciences,male,undergrad,local,510
2004,1425,Information Technology,female,undergrad,local,504
2004,1425,Engineering and Engeneering Trades,male,undergrad,local,498
2004,1425,Humanities,female,diploma,local,492
2004,1425,Physical Sciences,male,undergrad,local,475
2004,1425,Journalism and Media,female,undergrad,local,474
2004,1425,Arts,male,undergrad,local,461
2004,1425,Social Services,female,undergrad,local,334
2004,1425,Other,female,diploma,local,311
2004,1425,Teachers Training,male,diploma,local,280
2004,1425,Architecture and Construction,male,undergrad,local,258
2004,1425,Architecture and Construction,male,diploma,local,255
2004,1425,Business and Management,female,diploma,local,210
2004,1425,"Agriculture, Forestry and Fishery",male,diploma,local,180
2004,1425,Education,male,grad,local,167
2004,1425,"Agriculture, Forestry and Fishery",male,undergrad,local,155
2004,1425, Basic Programs,male,undergrad,local,133
2004,1425,Social Services,male,undergrad,local,128
2004,1425, Basic Programs,female,undergrad,local,103
2004,1425,Education,female,grad,local,101
2004,1425,Life Sciences,male,grad,local,101
2004,1425,Other,male,diploma,local,100
2004,1425,Teachers Training,female,grad,local,88
2004,1425,Manufacturing and Processing,female,undergrad,local,80
2004,1425,Education,male,diploma,local,79
2004,1425, Basic Programs,female,diploma,local,63
2004,1425,Business and Management,male,grad,local,61
2004,1425,Social Services,female,diploma,local,54
2004,1425,Humanities,female,grad,local,53
2004,1425,Islamic Studies,male,grad,local,38
2004,1425,  Veterinary Medicine,male,undergrad,local,36
2004,1425,Arts,male,grad,local,29
2004,1425,Information Technology,male,grad,local,29
2004,1425,Social and Behavioral Sciences,female,grad,local,26
2004,1425,Business and Management,female,grad,local,24
2004,1425,Environmental Protection,female,undergrad,local,23
2004,1425,Other,male,grad,local,20
2004,1425,Information Technology,female,grad,local,18
2004,1425,Other,female,grad,local,17
2004,1425,Physical Sciences,female,grad,local,17
2004,1425,Arts,female,grad,local,15
2004,1425,Engineering and Engeneering Trades,male,grad,local,13
2004,1425,Life Sciences,female,grad,local,12
2004,1425,Mathematics and Statistics,female,grad,local,12
2004,1425,Humanities,male,grad,local,11
2004,1425,Social and Behavioral Sciences,male,grad,local,10
2004,1425,Architecture and Construction,male,grad,local,8
2004,1425,Islamic Studies,female,grad,local,8
2004,1425,Physical Sciences,male,grad,local,8
2004,1425,Journalism and Media,male,grad,local,6
2004,1425,Social Services,female,grad,local,6
2004,1425,Mathematics and Statistics,male,grad,local,5
2004,1425,Health,female,grad,local,4
2004,1425,Physical Sciences,male,diploma,local,4
2004,1425,Teachers Training,male,grad,local,4
2004,1425, Basic Programs,female,grad,local,3
2004,1425,Health,male,grad,local,3
2004,1425, Basic Programs,male,grad,local,2
2004,1425,"Agriculture, Forestry and Fishery",male,grad,local,2
2004,1425,Social Services,male,grad,local,2
2004,1425,Arts,male,diploma,local,1
2004,1425,Journalism and Media,male,diploma,local,1
2004,1425,Journalism and Media,female,grad,local,1
2004,1425,  Veterinary Medicine,female,undergrad,local,0
2004,1425, Basic Programs,male,diploma,local,0
2004,1425,"Agriculture, Forestry and Fishery",female,diploma,local,0
2004,1425,"Agriculture, Forestry and Fishery",female,undergrad,local,0
2004,1425,"Agriculture, Forestry and Fishery",female,grad,local,0
2004,1425,Architecture and Construction,female,diploma,local,0
2004,1425,Architecture and Construction,female,undergrad,local,0
2004,1425,Architecture and Construction,female,grad,local,0
2004,1425,Arts,female,diploma,local,0
2004,1425,Education,female,diploma,local,0
2004,1425,Engineering and Engeneering Trades,female,diploma,local,0
2004,1425,Engineering and Engeneering Trades,female,undergrad,local,0
2004,1425,Engineering and Engeneering Trades,female,grad,local,0
2004,1425,Environmental Protection,male,undergrad,local,0
2004,1425,Islamic Studies,female,diploma,local,0
2004,1425,Journalism and Media,female,diploma,local,0
2004,1425,Manufacturing and Processing,male,undergrad,local,0
2004,1425,Physical Sciences,female,diploma,local,0
2004,1425,Social Services,male,diploma,local,0
